,0
1207,19.71
1208,17.23
1209,17.85
1210,25.3
1211,19.18
1212,11.46
1213,16.68
1214,
1215,
1216,15.39
1217,17.14
1218,19.49
1219,18.52
1220,18.96
1221,22.09
1222,21.04
1223,10.2
1224,7.45
1225,22.7
1226,19.25
1227,18.52
1228,22.57
1229,17.36
1230,20.4
1231,21.4
1232,
1233,19.96
1234,23.19
1235,32.5
1236,23.26
1237,17.16
1238,11.11
1239,12.66
1240,12.22
1241,19.33
1242,16.05
1243,15.21
1244,16.41
1245,18.49
1246,12.09
1247,11.7
1248,16.8
1249,17.2
1250,14.7
1251,10.2
1252,13.0
1253,6.8
1254,9.9
1255,24.6
1256,14.4
1257,14.1
1258,14.8
1259,9.3
1260,9.8
1261,14.5
1262,12.0
1263,5.2
1264,10.2
1265,15.8
1266,17.7
1267,10.7
1268,14.0
1269,12.4
1270,17.4
1271,15.9
1272,10.7
1273,10.7
1274,19.1
1275,9.0
1276,6.7
1277,7.78
1278,5.05
1279,7.09
1280,10.86
1281,11.44
1282,10.24
1283,13.61
1284,11.73
1285,10.62
1286,15.08
1287,9.42
1288,10.29
1289,7.19
1290,12.35
1291,12.33
1292,13.53
1293,13.5
1294,17.72
1295,20.89
1296,19.73
1297,16.48
1298,14.68
1299,12.51
1300,12.71
1301,9.6
1302,7.29
1303,5.1
1304,7.8
1305,11.0
1306,11.31
1307,16.01
1308,18.25
1309,25.26
1310,18.12
1311,13.86
1312,13.84
1313,11.51
1314,6.83
1315,8.96
1316,14.08
1317,23.1
1318,17.19
1319,8.09
1320,8.16
1321,12.42
1322,8.11
1323,13.84
1324,19.29
1325,18.4
1326,11.33
1327,5.61
1328,8.87
1329,8.89
1330,13.41
1331,12.91
1332,20.2
1333,23.81
1334,17.09
1335,10.24
1336,12.64
1337,16.72
1338,20.67
1339,18.1
1340,5.7
1341,5.0
1342,5.3
1343,12.1
1344,10.0
1345,6.3
1346,9.1
1347,15.0
1348,16.6
1349,19.2
1350,6.9
1351,5.3
1352,5.3
1353,7.9
1354,12.2
1355,11.8
1356,8.7
1357,22.1
1358,9.4
1359,7.7
1360,13.8
1361,
1362,
1363,
1364,20.9
1365,17.1
1366,17.4
1367,32.2
1368,32.3
1369,35.97
1370,39.62
1371,26.76
1372,9.47
1373,9.02
1374,5.83
1375,13.24
1376,7.89
1377,13.35
1378,11.15
1379,9.76
1380,11.02
1381,15.9
1382,30.18
1383,23.48
1384,28.2
1385,33.83
1386,42.66
1387,49.02
1388,48.93
1389,47.21
1390,33.1
1391,18.05
1392,14.81
1393,22.73
1394,22.66
1395,15.76
1396,8.01
1397,5.05
1398,5.9
1399,14.12
1400,12.62
1401,15.99
1402,25.77
1403,30.6
1404,22.7
1405,34.95
1406,33.57
1407,23.06
1408,57.43
1409,20.46
1410,8.58
1411,13.57
1412,21.57
1413,32.33
1414,60.04
1415,65.12
1416,63.79
1417,31.71
1418,13.48
1419,12.15
1420,24.54
1421,34.19
1422,47.8
1423,77.32
1424,52.86
1425,21.64
1426,53.19
1427,26.19
1428,62.28
1429,31.53
1430,43.42
1431,91.18
1432,31.89
1433,28.98
1434,17.18
1435,15.68
1436,34.12
1437,16.12
1438,33.35
1439,10.71
1440,6.17
1441,8.18
1442,21.77
1443,10.49
1444,19.74
1445,68.2
1446,62.82
1447,77.14
1448,40.27
1449,57.54
1450,34.59
1451,21.97
1452,14.37
1453,9.45
1454,22.19
1455,83.52
1456,47.34
1457,25.57
1458,27.83
1459,36.48
1460,12.9
1461,5.17
1462,22.48
1463,13.73
1464,11.44
1465,14.83
1466,54.68
1467,43.04
1468,18.12
1469,27.01
1470,52.88
1471,46.54
1472,23.46
1473,15.81
1474,19.14
1475,47.63
1476,40.42
1477,18.25
1478,14.72
1479,21.68
1480,57.81
1481,64.04
1482,47.07
1483,71.09
1484,72.08
1485,69.93
1486,157.47
1487,134.46
1488,48.65
1489,12.86
1490,8.78
1491,29.0
1492,33.35
1493,29.14
1494,75.5
1495,71.13
1496,20.95
1497,53.99
1498,63.86
1499,66.43
1500,
1501,71.62
